date,value,group
1999-07-23,1.0496,A
1999-07-26,1.0698,A
1999-07-27,1.0627,A
1999-07-28,1.0603,A
1999-07-29,1.068,A
1999-07-30,1.0694,A
1999-08-02,1.0665,A
1999-08-03,1.0645,A
1999-08-04,1.0761,A
1999-08-05,1.0791,A
1999-08-06,1.074,A
1999-08-09,1.0705,A
1999-08-10,1.0737,A
1999-08-11,1.0668,A
1999-08-12,1.0638,A
1999-08-13,1.0667,A
1999-08-16,1.0553,A
1999-08-17,1.0527,A
1999-08-18,1.0517,A
1999-08-19,1.0517,A
1999-08-20,1.0667,A
1999-08-23,1.0606,A
1999-08-24,1.0512,A
1999-08-25,1.0433,A
1999-08-26,1.0452,A
1999-08-27,1.045,A
1999-08-30,1.0454,A
1999-08-31,1.0573,A
1999-09-01,1.0613,A
1999-09-02,1.0662,A
1999-09-03,1.0682,A
1999-09-06,1.0594,A
1999-09-07,1.0565,A
1999-09-08,1.0613,A
1999-09-09,1.0592,A
1999-09-10,1.052,A
1999-09-13,1.0342,A
1999-09-14,1.0362,A
1999-09-15,1.0369,A
1999-09-16,1.0372,A
1999-09-17,1.0397,A
1999-09-20,1.0406,A
1999-09-21,1.0388,A
1999-09-22,1.0509,A
1999-09-23,1.043,A
1999-09-24,1.0476,A
1999-09-27,1.0414,A
1999-09-28,1.0483,A
1999-09-29,1.0563,A
1999-09-30,1.0665,A
1999-10-01,1.0728,A
1999-10-04,1.0719,A
1999-10-05,1.0686,A
1999-10-06,1.0737,A
1999-10-07,1.0729,A
1999-10-08,1.0657,A
1999-10-11,1.0631,A
1999-10-12,1.0668,A
1999-10-13,1.0778,A
1999-10-14,1.0758,A
1999-10-15,1.0869,A
1999-10-18,1.0868,A
1999-10-19,1.0818,A
1999-10-20,1.0777,A
1999-10-21,1.0797,A
1999-10-22,1.0758,A
1999-10-25,1.0683,A
1999-10-26,1.0633,A
1999-10-27,1.0552,A
1999-10-28,1.0534,A
1999-10-29,1.0453,A
1999-11-01,1.0572,A
1999-11-02,1.0507,A
1999-11-03,1.0491,A
1999-11-04,1.0504,A
1999-11-05,1.0408,A
1999-11-08,1.0405,A
1999-11-09,1.0424,A
1999-11-10,1.0402,A
1999-11-11,1.0406,A
1999-11-12,1.0308,A
1999-11-15,1.0301,A
1999-11-16,1.0336,A
1999-11-17,1.0408,A
1999-11-18,1.038,A
1999-11-19,1.0279,A
1999-11-22,1.0311,A
1999-11-23,1.0315,A
1999-11-24,1.0215,A
1999-11-25,1.0194,A
1999-11-26,1.0101,A
1999-11-29,1.0077,A
1999-11-30,1.0097,A
1999-12-01,1.0091,A
1999-12-02,1.0057,A
1999-12-03,1.0015,A
1999-12-06,1.0182,A
1999-12-07,1.0239,A
1999-12-08,1.0236,A
1999-12-09,1.0175,A
1999-12-10,1.0141,A
1999-12-13,1.0128,A
1999-12-14,1.0038,A
1999-12-15,1.0021,A
1999-12-16,1.0146,A
1999-12-17,1.0128,A
1999-12-20,1.0096,A
1999-12-21,1.0084,A
1999-12-22,1.0074,A
1999-12-23,1.0089,A
1999-12-24,1.0142,A
1999-12-27,1.0134,A
1999-12-28,1.0089,A
1999-12-29,1.0072,A
1999-12-30,1.0046,A
2000-01-03,1.009,A
2000-01-04,1.0305,A
2000-01-05,1.0368,A
2000-01-06,1.0388,A
2000-01-07,1.0284,A
2000-01-10,1.0229,A
2000-01-11,1.0256,A
2000-01-12,1.0308,A
2000-01-13,1.0276,A
2000-01-14,1.0225,A
2000-01-17,1.0094,A
2000-01-18,1.0093,A
2000-01-19,1.0105,A
2000-01-20,1.0089,A
2000-01-21,1.0097,A
2000-01-24,1.0027,A
2000-01-25,1.0008,A
2000-01-26,1.0019,A
2000-01-27,0.9976,A
2000-01-28,0.9848,A
2000-01-31,0.9791,A
2000-02-01,0.971,A
2000-02-02,0.9717,A
2000-02-03,0.9748,A
2000-02-04,0.9835,A
2000-02-07,0.9767,A
2000-02-08,0.9903,A
2000-02-09,0.9934,A
2000-02-10,0.9868,A
2000-02-11,0.9801,A
2000-02-14,0.9867,A
2000-02-15,0.9778,A
2000-02-16,0.9804,A
2000-02-17,0.9919,A
2000-02-18,0.9857,A
2000-02-21,0.9857,A
2000-02-22,1.0022,A
2000-02-23,1.0068,A
2000-02-24,0.9898,A
2000-02-25,0.9813,A
2000-02-28,0.9639,A
2000-02-29,0.9714,A
2000-03-01,0.9667,A
2000-03-02,0.9725,A
2000-03-03,0.9659,A
2000-03-06,0.964,A
2000-03-07,0.9593,A
2000-03-08,0.9543,A
2000-03-09,0.9616,A
2000-03-10,0.9613,A
2000-03-13,0.9716,A
2000-03-14,0.962,A
2000-03-15,0.9647,A
2000-03-16,0.9663,A
2000-03-17,0.9672,A
2000-03-20,0.9715,A
2000-03-21,0.9701,A
2000-03-22,0.9603,A
2000-03-23,0.9656,A
2000-03-24,0.9715,A
2000-03-27,0.9712,A
2000-03-28,0.9647,A
2000-03-29,0.9568,A
2000-03-30,0.9555,A
2000-03-31,0.9553,A
2000-04-03,0.9564,A
2000-04-04,0.9538,A
2000-04-05,0.9673,A
2000-04-06,0.9625,A
2000-04-07,0.9564,A
2000-04-10,0.959,A
2000-04-11,0.9594,A
2000-04-12,0.9576,A
2000-04-13,0.9537,A
2000-04-14,0.954,A
2000-04-17,0.9573,A
2000-04-18,0.9497,A
2000-04-19,0.9461,A
2000-04-20,0.9376,A
2000-04-25,0.9302,A
2000-04-26,0.9193,A
2000-04-27,0.9163,A
2000-04-28,0.9085,A
2000-05-02,0.9116,A
2000-05-03,0.8913,A
2000-05-04,0.8947,A
2000-05-05,0.8984,A
2000-05-08,0.8952,A
2000-05-09,0.8978,A
2000-05-10,0.9107,A
2000-05-11,0.9079,A
2000-05-12,0.9029,A
2000-05-15,0.9147,A
2000-05-16,0.9065,A
2000-05-17,0.8922,A
2000-05-18,0.8942,A
2000-05-19,0.8875,A
2000-05-22,0.9,A
2000-05-23,0.9111,A
2000-05-24,0.9098,A
2000-05-25,0.8981,A
2000-05-26,0.9143,A
2000-05-29,0.9262,A
2000-05-30,0.9359,A
2000-05-31,0.9303,A
2000-06-01,0.933,A
2000-06-02,0.9355,A
2000-06-05,0.9433,A
2000-06-06,0.9485,A
2000-06-07,0.9554,A
2000-06-08,0.9668,A
2000-06-09,0.949,A
2000-06-12,0.9527,A
2000-06-13,0.9583,A
2000-06-14,0.9636,A
2000-06-15,0.9524,A
2000-06-16,0.9565,A
2000-06-19,0.964,A
2000-06-20,0.9538,A
2000-06-21,0.947,A
2000-06-22,0.9405,A
2000-06-23,0.9413,A
2000-06-26,0.9327,A
2000-06-27,0.9401,A
2000-06-28,0.9415,A
2000-06-29,0.9504,A
2000-06-30,0.9556,A
2000-07-03,0.9493,A
2000-07-04,0.9487,A
2000-07-05,0.9537,A
2000-07-06,0.9542,A
2000-07-07,0.9483,A
2000-07-10,0.9523,A
2000-07-11,0.9527,A
2000-07-12,0.9499,A
2000-07-13,0.9349,A
2000-07-14,0.9344,A
2000-07-17,0.9352,A
2000-07-18,0.9353,A
2000-07-19,0.9216,A
2000-07-20,0.922,A
2000-07-21,0.9363,A
2000-07-24,0.9332,A
2000-07-25,0.941,A
2000-07-26,0.939,A
2000-07-27,0.9389,A
2000-07-28,0.9276,A
2000-07-31,0.9243,A
2000-08-01,0.9264,A
2000-08-02,0.9142,A
2000-08-03,0.9028,A
2000-08-04,0.9031,A
2000-08-07,0.9084,A
2000-08-08,0.9047,A
2000-08-09,0.8973,A
2000-08-10,0.9031,A
2000-08-11,0.9132,A
2000-08-14,0.9011,A
2000-08-15,0.9118,A
2000-08-16,0.9072,A
2000-08-17,0.914,A
2000-08-18,0.9127,A
2000-08-21,0.9023,A
2000-08-22,0.8972,A
2000-08-23,0.8918,A
2000-08-24,0.9012,A
2000-08-25,0.9021,A
2000-08-28,0.9007,A
2000-08-29,0.8965,A
2000-08-30,0.8909,A
2000-08-31,0.8906,A
2000-09-01,0.8902,A
2000-09-04,0.9,A
2000-09-05,0.8886,A
2000-09-06,0.8818,A
2000-09-07,0.8676,A
2000-09-08,0.8735,A
2000-09-11,0.8609,A
2000-09-12,0.8614,A
2000-09-13,0.8654,A
2000-09-14,0.8693,A
2000-09-15,0.8615,A
2000-09-18,0.8526,A
2000-09-19,0.8541,A
2000-09-20,0.8476,A
2000-09-21,0.8524,A
2000-09-22,0.889,A
2000-09-25,0.877,A
2000-09-26,0.8757,A
2000-09-27,0.8861,A
2000-09-28,0.8832,A
2000-09-29,0.8765,A
2000-10-02,0.8802,A
2000-10-03,0.8763,A
2000-10-04,0.873,A
2000-10-05,0.8786,A
2000-10-06,0.8703,A
2000-10-09,0.8695,A
2000-10-10,0.8721,A
2000-10-11,0.872,A
2000-10-12,0.8648,A
2000-10-13,0.8627,A
2000-10-16,0.8511,A
2000-10-17,0.8496,A
2000-10-18,0.8525,A
2000-10-19,0.8411,A
2000-10-20,0.8452,A
2000-10-23,0.8377,A
2000-10-24,0.8386,A
2000-10-25,0.8307,A
2000-10-26,0.8252,A
2000-10-27,0.8324,A
2000-10-30,0.8482,A
2000-10-31,0.8417,A
2000-11-01,0.8554,A
2000-11-02,0.8646,A
2000-11-03,0.873,A
2000-11-06,0.8667,A
2000-11-07,0.8587,A
2000-11-08,0.8559,A
2000-11-09,0.8531,A
2000-11-10,0.8673,A
2000-11-13,0.862,A
2000-11-14,0.8583,A
2000-11-15,0.8596,A
2000-11-16,0.8569,A
2000-11-17,0.8535,A
2000-11-20,0.8488,A
2000-11-21,0.8474,A
2000-11-22,0.8429,A
2000-11-23,0.8427,A
2000-11-24,0.8436,A
2000-11-27,0.8406,A
2000-11-28,0.8561,A
2000-11-29,0.865,A
2000-11-30,0.8684,A
2000-12-01,0.8735,A
2000-12-04,0.8908,A
2000-12-05,0.881,A
2000-12-06,0.8828,A
2000-12-07,0.8943,A
2000-12-08,0.8895,A
2000-12-11,0.8804,A
2000-12-12,0.8782,A
2000-12-13,0.8748,A
2000-12-14,0.8839,A
2000-12-15,0.8984,A
2000-12-18,0.8966,A
2000-12-19,0.8903,A
2000-12-20,0.9059,A
2000-12-21,0.9146,A
2000-12-22,0.924,A
2000-12-27,0.931,A
2000-12-28,0.9285,A
2000-12-29,0.9305,A
2001-01-02,0.9423,A
2001-01-03,0.953,A
2001-01-04,0.9458,A
2001-01-05,0.9545,A
2001-01-08,0.9497,A
2001-01-09,0.9401,A
2001-01-10,0.9412,A
2001-01-11,0.9523,A
2001-01-12,0.9545,A
2001-01-15,0.9428,A
2001-01-16,0.9412,A
2001-01-17,0.9396,A
2001-01-18,0.9404,A
2001-01-19,0.94,A
2001-01-22,0.929,A
2001-01-23,0.9407,A
2001-01-24,0.9294,A
2001-01-25,0.9146,A
2001-01-26,0.9228,A
2001-01-29,0.9193,A
2001-01-30,0.9197,A
2001-01-31,0.9293,A
2001-02-01,0.9406,A
2001-02-02,0.9407,A
2001-02-05,0.9425,A
2001-02-06,0.9322,A
2001-02-07,0.9325,A
2001-02-08,0.922,A
2001-02-09,0.9227,A
2001-02-12,0.9288,A
2001-02-13,0.9275,A
2001-02-14,0.9178,A
2001-02-15,0.909,A
2001-02-16,0.9113,A
2001-02-19,0.9213,A
2001-02-20,0.907,A
2001-02-21,0.9146,A
2001-02-22,0.9056,A
2001-02-23,0.9064,A
2001-02-26,0.9105,A
2001-02-27,0.9163,A
2001-02-28,0.9248,A
2001-03-01,0.9269,A
2001-03-02,0.9363,A
2001-03-05,0.9305,A
2001-03-06,0.9279,A
2001-03-07,0.9307,A
2001-03-08,0.9312,A
2001-03-09,0.9357,A
2001-03-12,0.9272,A
2001-03-13,0.9202,A
2001-03-14,0.9182,A
2001-03-15,0.9064,A
2001-03-16,0.8947,A
2001-03-19,0.8996,A
2001-03-20,0.902,A
2001-03-21,0.899,A
2001-03-22,0.8889,A
2001-03-23,0.8922,A
2001-03-26,0.8935,A
2001-03-27,0.8952,A
2001-03-28,0.886,A
2001-03-29,0.884,A
2001-03-30,0.8832,A
2001-04-02,0.8772,A
2001-04-03,0.8845,A
2001-04-04,0.9032,A
2001-04-05,0.902,A
2001-04-06,0.894,A
2001-04-09,0.9018,A
2001-04-10,0.8945,A
2001-04-11,0.884,A
2001-04-12,0.8849,A
2001-04-17,0.8791,A
2001-04-18,0.8778,A
2001-04-19,0.8827,A
2001-04-20,0.8989,A
2001-04-23,0.9002,A
2001-04-24,0.8973,A
2001-04-25,0.8947,A
2001-04-26,0.9013,A
2001-04-27,0.9023,A
2001-04-30,0.8876,A
2001-05-02,0.8907,A
2001-05-03,0.8903,A
2001-05-04,0.8939,A
2001-05-07,0.8919,A
2001-05-08,0.8866,A
2001-05-09,0.8827,A
2001-05-10,0.885,A
2001-05-11,0.8773,A
2001-05-14,0.8745,A
2001-05-15,0.8768,A
2001-05-16,0.8834,A
2001-05-17,0.8815,A
2001-05-18,0.8777,A
2001-05-21,0.8754,A
2001-05-22,0.8685,A
2001-05-23,0.8585,A
2001-05-24,0.8604,A
2001-05-25,0.8591,A
2001-05-28,0.8584,A
2001-05-29,0.8552,A
2001-05-30,0.8558,A
2001-05-31,0.848,A
2001-06-01,0.8478,A
2001-06-04,0.8513,A
2001-06-05,0.8465,A
2001-06-06,0.8543,A
2001-06-07,0.8466,A
2001-06-08,0.8468,A
2001-06-11,0.8494,A
2001-06-12,0.8474,A
2001-06-13,0.8542,A
2001-06-14,0.8492,A
2001-06-15,0.8662,A
2001-06-18,0.8581,A
2001-06-19,0.8563,A
2001-06-20,0.8513,A
2001-06-21,0.8552,A
2001-06-22,0.8528,A
2001-06-25,0.8607,A
2001-06-26,0.8611,A
2001-06-27,0.8622,A
2001-06-28,0.8511,A
2001-06-29,0.848,A
2001-07-02,0.8455,A
2001-07-03,0.8497,A
2001-07-04,0.8453,A
2001-07-05,0.8422,A
2001-07-06,0.8384,A
2001-07-09,0.8459,A
2001-07-10,0.8545,A
2001-07-11,0.8611,A
2001-07-12,0.8538,A
2001-07-13,0.8539,A
2001-07-16,0.8583,A
2001-07-17,0.8516,A
2001-07-18,0.863,A
2001-07-19,0.8723,A
2001-07-20,0.8776,A
2001-07-23,0.8676,A
2001-07-24,0.8708,A
2001-07-25,0.8793,A
2001-07-26,0.8764,A
2001-07-27,0.8768,A
2001-07-30,0.8751,A
2001-07-31,0.8755,A
2001-08-01,0.8817,A
2001-08-02,0.8788,A
2001-08-03,0.8806,A
2001-08-06,0.8805,A
2001-08-07,0.8768,A
2001-08-08,0.8763,A
2001-08-09,0.8853,A
2001-08-10,0.8936,A
2001-08-13,0.8991,A
2001-08-14,0.8968,A
2001-08-15,0.9114,A
2001-08-16,0.9144,A
2001-08-17,0.9138,A
2001-08-20,0.9149,A
2001-08-21,0.9128,A
2001-08-22,0.9216,A
2001-08-23,0.9112,A
2001-08-24,0.9108,A
2001-08-27,0.909,A
2001-08-28,0.9042,A
2001-08-29,0.9122,A
2001-08-30,0.9095,A
2001-08-31,0.9158,A
2001-09-03,0.9072,A
2001-09-04,0.897,A
2001-09-05,0.8891,A
2001-09-06,0.8855,A
2001-09-07,0.8952,A
2001-09-10,0.9047,A
2001-09-11,0.8964,A
2001-09-12,0.9052,A
2001-09-13,0.906,A
2001-09-14,0.9219,A
2001-09-17,0.9269,A
2001-09-18,0.9256,A
2001-09-19,0.9258,A
2001-09-20,0.9259,A
2001-09-21,0.92,A
2001-09-24,0.9164,A
2001-09-25,0.9176,A
2001-09-26,0.9219,A
2001-09-27,0.9205,A
2001-09-28,0.9131,A
2001-10-01,0.9125,A
2001-10-02,0.9189,A
2001-10-03,0.9209,A
2001-10-04,0.9117,A
2001-10-05,0.9174,A
2001-10-08,0.9214,A
2001-10-09,0.9193,A
2001-10-10,0.9136,A
2001-10-11,0.9062,A
2001-10-12,0.904,A
2001-10-15,0.9097,A
2001-10-16,0.9052,A
2001-10-17,0.9022,A
2001-10-18,0.9026,A
2001-10-19,0.9009,A
2001-10-22,0.8969,A
2001-10-23,0.8887,A
2001-10-24,0.8917,A
2001-10-25,0.8889,A
2001-10-26,0.8911,A
2001-10-29,0.9005,A
2001-10-30,0.9064,A
2001-10-31,0.9042,A
2001-11-01,0.9097,A
2001-11-02,0.9056,A
2001-11-05,0.8961,A
2001-11-06,0.8961,A
2001-11-07,0.9014,A
2001-11-08,0.8972,A
2001-11-09,0.893,A
2001-11-12,0.8919,A
2001-11-13,0.8842,A
2001-11-14,0.8803,A
2001-11-15,0.8825,A
2001-11-16,0.8845,A
2001-11-19,0.8793,A
2001-11-20,0.8824,A
2001-11-21,0.8791,A
2001-11-22,0.8778,A
2001-11-23,0.8795,A
2001-11-26,0.8818,A
2001-11-27,0.8788,A
2001-11-28,0.8831,A
2001-11-29,0.8887,A
2001-11-30,0.8898,A
2001-12-03,0.8925,A
2001-12-04,0.8902,A
2001-12-05,0.8919,A
2001-12-06,0.8889,A
2001-12-07,0.8911,A
2001-12-10,0.885,A
2001-12-11,0.8908,A
2001-12-12,0.8938,A
2001-12-13,0.8975,A
2001-12-14,0.9016,A
2001-12-17,0.9049,A
2001-12-18,0.9012,A
2001-12-19,0.8983,A
2001-12-20,0.8973,A
2001-12-21,0.8943,A
2001-12-24,0.8798,A
2001-12-27,0.8823,A
2001-12-28,0.8813,A
2002-01-02,0.9038,A
2002-01-03,0.9036,A
2002-01-04,0.8954,A
2002-01-07,0.8905,A
2002-01-08,0.8909,A
2002-01-09,0.8921,A
2002-01-10,0.8909,A
2002-01-11,0.8919,A
2002-01-14,0.8927,A
2002-01-15,0.8922,A
2002-01-16,0.8817,A
2002-01-17,0.8819,A
2002-01-18,0.881,A
2002-01-21,0.884,A
2002-01-22,0.883,A
2002-01-23,0.8856,A
2002-01-24,0.8767,A
2002-01-25,0.8663,A
2002-01-28,0.8578,A
2002-01-29,0.8624,A
2002-01-30,0.8642,A
2002-01-31,0.8637,A
2002-02-01,0.8632,A
2002-02-04,0.8644,A
2002-02-05,0.8683,A
2002-02-06,0.8664,A
2002-02-07,0.8664,A
2002-02-08,0.874,A
2002-02-11,0.8794,A
2002-02-12,0.8753,A
2002-02-13,0.8731,A
2002-02-14,0.8693,A
2002-02-15,0.8705,A
2002-02-18,0.8715,A
2002-02-19,0.8692,A
2002-02-20,0.8743,A
2002-02-21,0.8701,A
2002-02-22,0.8747,A
2002-02-25,0.8724,A
2002-02-26,0.8682,A
2002-02-27,0.8649,A
2002-02-28,0.8651,A
2002-03-01,0.8679,A
2002-03-04,0.8649,A
2002-03-05,0.8682,A
2002-03-06,0.8712,A
2002-03-07,0.8764,A
2002-03-08,0.8797,A
2002-03-11,0.8741,A
2002-03-12,0.8733,A
2002-03-13,0.8734,A
2002-03-14,0.8803,A
2002-03-15,0.8853,A
2002-03-18,0.8792,A
2002-03-19,0.8829,A
2002-03-20,0.8814,A
2002-03-21,0.8817,A
2002-03-22,0.8795,A
2002-03-25,0.8759,A
2002-03-26,0.8737,A
2002-03-27,0.8746,A
2002-03-28,0.8724,A
2002-04-02,0.8786,A
2002-04-03,0.8803,A
2002-04-04,0.8818,A
2002-04-05,0.8786,A
2002-04-08,0.8778,A
2002-04-09,0.8763,A
2002-04-10,0.8798,A
2002-04-11,0.8794,A
2002-04-12,0.8803,A
2002-04-15,0.8802,A
2002-04-16,0.8803,A
2002-04-17,0.888,A
2002-04-18,0.8895,A
2002-04-19,0.8886,A
2002-04-22,0.8882,A
2002-04-23,0.8872,A
2002-04-24,0.8892,A
2002-04-25,0.8969,A
2002-04-26,0.8971,A
2002-04-29,0.9038,A
2002-04-30,0.9008,A
2002-05-02,0.9032,A
2002-05-03,0.9083,A
2002-05-06,0.9144,A
2002-05-07,0.9125,A
2002-05-08,0.9088,A
2002-05-09,0.9061,A
2002-05-10,0.9118,A
2002-05-13,0.9118,A
2002-05-14,0.9062,A
2002-05-15,0.903,A
2002-05-16,0.9124,A
2002-05-17,0.9152,A
2002-05-20,0.9202,A
2002-05-21,0.9213,A
2002-05-22,0.926,A
2002-05-23,0.9213,A
2002-05-24,0.9188,A
2002-05-27,0.919,A
2002-05-28,0.9255,A
2002-05-29,0.932,A
2002-05-30,0.9375,A
2002-05-31,0.9387,A
2002-06-03,0.9313,A
2002-06-04,0.9435,A
2002-06-05,0.9371,A
2002-06-06,0.9386,A
2002-06-07,0.9452,A
2002-06-10,0.9459,A
2002-06-11,0.9417,A
2002-06-12,0.9452,A
2002-06-13,0.9417,A
2002-06-14,0.9478,A
2002-06-17,0.9426,A
2002-06-18,0.9484,A
2002-06-19,0.9561,A
2002-06-20,0.9592,A
2002-06-21,0.9636,A
2002-06-24,0.9781,A
2002-06-25,0.9712,A
2002-06-26,0.9917,A
2002-06-27,0.9824,A
2002-06-28,0.9975,A
2002-07-01,0.9913,A
2002-07-02,0.9838,A
2002-07-03,0.978,A
2002-07-04,0.979,A
2002-07-05,0.9725,A
2002-07-08,0.9828,A
2002-07-09,0.993,A
2002-07-10,0.9898,A
2002-07-11,0.9836,A
2002-07-12,0.9873,A
2002-07-15,1.0024,A
2002-07-16,1.0127,A
2002-07-17,1.0064,A
2002-07-18,1.0058,A
2002-07-19,1.0146,A
2002-07-22,1.0086,A
2002-07-23,0.991,A
2002-07-24,0.9915,A
2002-07-25,1.0014,A
2002-07-26,1.0008,A
2002-07-29,0.9821,A
2002-07-30,0.9835,A
2002-07-31,0.9783,A
2002-08-01,0.976,A
2002-08-02,0.9873,A
2002-08-05,0.9836,A
2002-08-06,0.9689,A
2002-08-07,0.9698,A
2002-08-08,0.9687,A
2002-08-09,0.9729,A
2002-08-12,0.978,A
2002-08-13,0.9799,A
2002-08-14,0.9857,A
2002-08-15,0.9777,A
2002-08-16,0.9825,A
2002-08-19,0.9799,A
2002-08-20,0.9792,A
2002-08-21,0.9762,A
2002-08-22,0.977,A
2002-08-23,0.9697,A
2002-08-26,0.9701,A
2002-08-27,0.9774,A
2002-08-28,0.9826,A
2002-08-29,0.9843,A
2002-08-30,0.9833,A
2002-09-02,0.9821,A
2002-09-03,0.991,A
2002-09-04,0.9947,A
2002-09-05,0.9975,A
2002-09-06,0.9918,A
2002-09-09,0.9794,A
2002-09-10,0.976,A
2002-09-11,0.9749,A
2002-09-12,0.9757,A
2002-09-13,0.981,A
2002-09-16,0.9683,A
2002-09-17,0.9649,A
2002-09-18,0.9725,A
2002-09-19,0.9814,A
2002-09-20,0.979,A
2002-09-23,0.9831,A
2002-09-24,0.9828,A
2002-09-25,0.9771,A
2002-09-26,0.9796,A
2002-09-27,0.9779,A
2002-09-30,0.986,A
2002-10-01,0.9861,A
2002-10-02,0.9835,A
2002-10-03,0.989,A
2002-10-04,0.9865,A
2002-10-07,0.9808,A
2002-10-08,0.98,A
2002-10-09,0.9814,A
2002-10-10,0.9875,A
2002-10-11,0.9857,A
2002-10-14,0.9873,A
2002-10-15,0.981,A
2002-10-16,0.9823,A
2002-10-17,0.9763,A
2002-10-18,0.9735,A
2002-10-21,0.9748,A
2002-10-22,0.9768,A
2002-10-23,0.9775,A
2002-10-24,0.9738,A
2002-10-25,0.9763,A
2002-10-28,0.9745,A
2002-10-29,0.982,A
2002-10-30,0.9825,A
2002-10-31,0.9864,A
2002-11-01,0.9974,A
2002-11-04,0.9944,A
2002-11-05,1.0024,A
2002-11-06,0.9955,A
2002-11-07,1.0013,A
2002-11-08,1.0107,A
2002-11-11,1.0126,A
2002-11-12,1.0081,A
2002-11-13,1.0068,A
2002-11-14,1.0095,A
2002-11-15,1.0029,A
2002-11-18,1.0065,A
2002-11-19,1.0125,A
2002-11-20,1.0019,A
2002-11-21,1.0034,A
2002-11-22,1.0024,A
2002-11-25,0.9905,A
2002-11-26,0.991,A
2002-11-27,0.9927,A
2002-11-28,0.9934,A
2002-11-29,0.9927,A
2002-12-02,0.9871,A
2002-12-03,0.9967,A
